name,street,city,state,zipcode,country,lat,long
Marcel,1170 Howell Mill Rd,Atlanta,GA,30318,USA,33.785709,-84.412483
Aviva by Kameel Downtown,225 Peachtree St,Atlanta,GA,30303,USA,33.76016,-84.38703
Eight Sushi Lounge,930 Howell Mill Rd NW,Atlanta,GA,30318,USA,33.78026,-84.41095
Cosmo's Pizza + Social,144 E Crogan St,Lawrenceville,GA,30046,USA,33.95612,-83.98762
The White Bull,123 E Court Square,Decatur,GA,30030,USA,33.77505,-84.29592
Taco Mac Duluth,3543 Peachtree Industrial Blvd,Duluth,GA,30096,USA,34.0022266,-84.1701517
Merhaba Shawarma,4188 E Ponce de Leon Ave,Clarkston,GA,30021,USA,33.8098918,-84.2397424
Sweet Potato Café,5377 Manor Dr ,Stone Mountain,GA,30083,USA,33.8068648,-84.1693873
Izzy's NY Pizza,331 Rockbridge Rd NW #400,Lilburn,GA,30047,USA,33.867186,-84.146603
K & K Soul Food,881 Donald Lee Hollowell Pkwy NW,Atlanta,GA,30318,USA,33.7731298,-84.4141573
